Sr.No,Round ??,Institute ??,Program ??,Stream ??,Quota ??,Category ??,Seat Gender ??,Opening Rank ??,Closing Rank ??,Remark ??
6202,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,326077,875053,Fresh and Upgraded Only
6203,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Engineering,B.Tech,Home State,SC,Both Male and Female Seats,1238897,1238897,Fresh and Upgraded Only
6204,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,BC(Girl),Female Seats,1407402,1468938,Fresh and Upgraded Only
6205,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,BC,Both Male and Female Seats,774844,1150832,Fresh and Upgraded Only
6206,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,882487,882487,Fresh and Upgraded Only
6207,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,OPEN(GIRL),Female Seats,527582,641944,Fresh and Upgraded Only
6208,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,232604,737856,Fresh and Upgraded Only
6209,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,SC(Girl),Female Seats,1303327,1303327,Fresh and Upgraded Only
6210,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology,B.Tech,Home State,SC,Both Male and Female Seats,1117846,1450122,Fresh and Upgraded Only
6211,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Technology (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,273686,331889,Fresh and Upgraded Only
6212,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Chemistry,B.Tech,Home State,OPEN(GIRL),Female Seats,1338570,1459844,Fresh and Upgraded Only
6213,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Textile Chemistry,B.Tech,Home State,OPEN,Both Male and Female Seats,225599,1384822,Fresh and Upgraded Only
6214,Round 2,"UTTAR PRADESH TEXTILE TECHNOLOGY INSTITUTE,KANPUR",Man Made Fibre Technology,B.Tech,Home State,OPEN,Both Male and Female Seats,1001905,1405535,Fresh and Upgraded Only
6215,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,738988,1470521,Fresh and Upgraded Only
6216,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,335126,1264044,Fresh and Upgraded Only
6217,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,259918,559190,Fresh and Upgraded Only
6218,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,633106,942606,Fresh and Upgraded Only
6219,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN,Both Male and Female Seats,534144,1360638,Fresh and Upgraded Only
6220,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,SC(Girl),Female Seats,216507,220392,Fresh and Upgraded Only
6221,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science and Engineering (Artificial Intelligence) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,318951,677280,Fresh and Upgraded Only
6222,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science And Engineering(Data Science),B.Tech,Home State,OPEN,Both Male and Female Seats,139533,813462,Fresh and Upgraded Only
6223,Round 2,"MAHARANA PRATAP ENGINEERING COLLEGE,KANPUR",Computer Science And Engineering(Data Science) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,884165,1075908,Fresh and Upgraded Only
6224,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,163442,163442,Fresh and Upgraded Only
6225,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,BC(Girl),Female Seats,132955,148396,Fresh and Upgraded Only
6226,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,BC,Both Male and Female Seats,90608,102860,Fresh and Upgraded Only
6227,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,EWS(GL),Female Seats,121750,121750,Fresh and Upgraded Only
6228,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,102320,103284,Fresh and Upgraded Only
6229,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,105453,117269,Fresh and Upgraded Only
6230,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,69318,84453,Fresh and Upgraded Only
6231,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,SC(Girl),Female Seats,261438,270749,Fresh and Upgraded Only
6232,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,SC,Both Male and Female Seats,241802,266060,Fresh and Upgraded Only
6233,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering,B.Tech,Home State,ST(Girl),Female Seats,772009,772009,Fresh and Upgraded Only
6234,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,70210,70210,Fresh and Upgraded Only
6235,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,51959,64908,Fresh and Upgraded Only
6236,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,41003,44675,Fresh and Upgraded Only
6237,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(PH),Both Male and Female Seats,887035,887035,Fresh and Upgraded Only
6238,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,49308,50198,Fresh and Upgraded Only
6239,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,36406,40657,Fresh and Upgraded Only
6240,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,39680,39680,Fresh and Upgraded Only
6241,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,40391,44014,Fresh and Upgraded Only
6242,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,13599,33715,Fresh and Upgraded Only
6243,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,145514,145514,Fresh and Upgraded Only
6244,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(AF),Both Male and Female Seats,296906,296906,Fresh and Upgraded Only
6245,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(Girl),Female Seats,167512,175443,Fresh and Upgraded Only
6246,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC,Both Male and Female Seats,107863,145029,Fresh and Upgraded Only
6247,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,SC(PH),Both Male and Female Seats,715856,715856,Fresh and Upgraded Only
6248,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering,B.Tech,Home State,ST(Girl),Female Seats,363986,363986,Fresh and Upgraded Only
6249,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,22984,22984,Fresh and Upgraded Only
6250,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,BC(Girl),Female Seats,86509,92656,Fresh and Upgraded Only
6251,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,61136,66757,Fresh and Upgraded Only
6252,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,EWS(AF),Both Male and Female Seats,182843,182843,Fresh and Upgraded Only
6253,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,EWS(GL),Female Seats,77494,77494,Fresh and Upgraded Only
6254,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,60024,60796,Fresh and Upgraded Only
6255,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,71917,71917,Fresh and Upgraded Only
6256,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,68055,68055,Fresh and Upgraded Only
6257,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,52382,58449,Fresh and Upgraded Only
6258,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN(PH),Both Male and Female Seats,724049,724049,Fresh and Upgraded Only
6259,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,197855,214404,Fresh and Upgraded Only
6260,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,466970,495546,Fresh and Upgraded Only
6261,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electrical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,52121,52121,Fresh and Upgraded Only
6262,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC(AF),Both Male and Female Seats,70571,70571,Fresh and Upgraded Only
6263,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC(Girl),Female Seats,70980,73783,Fresh and Upgraded Only
6264,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC,Both Male and Female Seats,54091,56811,Fresh and Upgraded Only
6265,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,BC(PH),Both Male and Female Seats,70060,70060,Fresh and Upgraded Only
6266,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,50752,52020,Fresh and Upgraded Only
6267,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,67100,67100,Fresh and Upgraded Only
6268,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,56132,59873,Fresh and Upgraded Only
6269,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,44105,50139,Fresh and Upgraded Only
6270,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,SC(Girl),Female Seats,208172,211665,Fresh and Upgraded Only
6271,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,SC,Both Male and Female Seats,180159,191102,Fresh and Upgraded Only
6272,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,SC(PH),Both Male and Female Seats,908798,908798,Fresh and Upgraded Only
6273,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,ST(Girl),Female Seats,380482,380482,Fresh and Upgraded Only
6274,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering,B.Tech,Home State,ST,Both Male and Female Seats,409046,409046,Fresh and Upgraded Only
6275,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Electronics and Communication Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,46072.1,46072.1,Fresh and Upgraded Only
6276,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,68790,85037,Fresh and Upgraded Only
6277,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,EWS(AF),Both Male and Female Seats,348352,348352,Fresh and Upgraded Only
6278,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,69434,75761,Fresh and Upgraded Only
6279,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,60888,68439,Fresh and Upgraded Only
6280,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,SC(Girl),Female Seats,261333,271767,Fresh and Upgraded Only
6281,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,205835,239465,Fresh and Upgraded Only
6282,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering,B.Tech,Home State,ST,Both Male and Female Seats,513734,513734,Fresh and Upgraded Only
6283,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Mechanical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,63092,63666,Fresh and Upgraded Only
6284,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,BC(Girl),Female Seats,99489,148378,Fresh and Upgraded Only
6285,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,BC,Both Male and Female Seats,103356,110213,Fresh and Upgraded Only
6286,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,101811,105415,Fresh and Upgraded Only
6287,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,OPEN(AF),Both Male and Female Seats,99979,99979,Fresh and Upgraded Only
6288,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,87372,94194,Fresh and Upgraded Only
6289,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,66417,95352,Fresh and Upgraded Only
6290,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,SC(Girl),Female Seats,279499,285901,Fresh and Upgraded Only
6291,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering,B.Tech,Home State,SC,Both Male and Female Seats,257954,292196,Fresh and Upgraded Only
6292,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Chemical Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,70842,70842,Fresh and Upgraded Only
6293,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(AF),Both Male and Female Seats,64713,64713,Fresh and Upgraded Only
6294,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(Girl),Female Seats,57384,65492,Fresh and Upgraded Only
6295,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC,Both Male and Female Seats,45009,48674,Fresh and Upgraded Only
6296,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,BC(PH),Both Male and Female Seats,520590,520590,Fresh and Upgraded Only
6297,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(FF),Both Male and Female Seats,319488,319488,Fresh and Upgraded Only
6298,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(GL),Female Seats,50305,50305,Fresh and Upgraded Only
6299,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,42348,44507,Fresh and Upgraded Only
6300,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,54014,55536,Fresh and Upgraded Only
6301,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(FF),Both Male and Female Seats,192325,192325,Fresh and Upgraded Only
6302,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(GIRL),Female Seats,44067,49370,Fresh and Upgraded Only
6303,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN,Both Male and Female Seats,35763,42322,Fresh and Upgraded Only
6304,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,OPEN(PH),Both Male and Female Seats,366000,366000,Fresh and Upgraded Only
6305,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC(AF),Both Male and Female Seats,337279,337279,Fresh and Upgraded Only
6306,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC(Girl),Female Seats,190556,196719,Fresh and Upgraded Only
6307,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC,Both Male and Female Seats,151154,161575,Fresh and Upgraded Only
6308,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering (Artificial Intelligence),B.Tech,Home State,SC(PH),Both Male and Female Seats,1040219,1040219,Fresh and Upgraded Only
6309,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,BC(AF),Both Male and Female Seats,65419,65419,Fresh and Upgraded Only
6310,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,BC(Girl),Female Seats,66429,70690,Fresh and Upgraded Only
6311,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,BC,Both Male and Female Seats,50144,52865,Fresh and Upgraded Only
6312,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,BC(PH),Both Male and Female Seats,1204504,1204504,Fresh and Upgraded Only
6313,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,EWS(GL),Female Seats,55273,55273,Fresh and Upgraded Only
6314,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,47060,47906,Fresh and Upgraded Only
6315,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,EWS(PH),Both Male and Female Seats,731295,731295,Fresh and Upgraded Only
6316,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN(AF),Both Male and Female Seats,57747,61799,Fresh and Upgraded Only
6317,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN(GIRL),Female Seats,49447,54726,Fresh and Upgraded Only
6318,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN,Both Male and Female Seats,41831,45212,Fresh and Upgraded Only
6319,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,OPEN(PH),Both Male and Female Seats,681057,681057,Fresh and Upgraded Only
6320,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,SC(AF),Both Male and Female Seats,334800,334800,Fresh and Upgraded Only
6321,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,SC(Girl),Female Seats,206825,206825,Fresh and Upgraded Only
6322,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,SC,Both Male and Female Seats,167749,181145,Fresh and Upgraded Only
6323,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance),B.Tech,Home State,ST,Both Male and Female Seats,351847,351847,Fresh and Upgraded Only
6324,Round 2,"INSTITUTE OF ENGINEERING & TECHNOLOGY,LUCKNOW",Computer Science and Engineering(Self Finance) (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,35704,35704,Fresh and Upgraded Only
6325,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Civil Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,800520,1132252,Fresh and Upgraded Only
6326,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Civil Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,821264,821264,Fresh and Upgraded Only
6327,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Civil Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,442943,442943,Fresh and Upgraded Only
6328,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC(Girl),Female Seats,1106078,1156598,Fresh and Upgraded Only
6329,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,BC,Both Male and Female Seats,1313320,1392432,Fresh and Upgraded Only
6330,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(GL),Female Seats,1117826,1117826,Fresh and Upgraded Only
6331,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,EWS(OPEN),Both Male and Female Seats,1216123,1216123,Fresh and Upgraded Only
6332,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,330975,1014102,Fresh and Upgraded Only
6333,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering,B.Tech,Home State,OPEN,Both Male and Female Seats,230510,1209073,Fresh and Upgraded Only
6334,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Computer Science and Engineering (FW),B.Tech,Home State,OPEN(TF),Both Male and Female Seats,168652,275295,Fresh and Upgraded Only
6335,Round 2,"BABU BANARASI DAS INSTITUTE OF TECHNOLOGY AND MANAGEMENT, LUCKNOW",Electrical Engineering,B.Tech,Home State,OPEN(GIRL),Female Seats,156444,1265090,Fresh and Upgraded Only
